Timestamp                     Simulation t   % complete   Est. completion
Tue Jun 11 03:40:45 2024       0.00*year              0   TBD
Tue Jun 11 03:40:46 2024       5.00*year              6   Tue Jun 11 03:41:00 2024
Tue Jun 11 03:40:46 2024      15.00*year             13   Tue Jun 11 03:40:52 2024
Tue Jun 11 03:40:47 2024      20.00*year             16   Tue Jun 11 03:40:57 2024
Tue Jun 11 03:40:47 2024      30.00*year             23   Tue Jun 11 03:40:53 2024
Tue Jun 11 03:40:47 2024      35.00*year             26   Tue Jun 11 03:40:52 2024
Tue Jun 11 03:40:48 2024      45.00*year             32   Tue Jun 11 03:40:54 2024
Tue Jun 11 03:40:48 2024      50.00*year             35   Tue Jun 11 03:40:53 2024
Tue Jun 11 03:40:49 2024      60.00*year             42   Tue Jun 11 03:40:54 2024
Tue Jun 11 03:40:49 2024      65.00*year             45   Tue Jun 11 03:40:53 2024
Tue Jun 11 03:40:50 2024      75.00*year             52   Tue Jun 11 03:40:54 2024
Tue Jun 11 03:40:50 2024      85.00*year             58   Tue Jun 11 03:40:53 2024
Tue Jun 11 03:40:51 2024      90.00*year             61   Tue Jun 11 03:40:54 2024
Tue Jun 11 03:40:51 2024     100.00*year             68   Tue Jun 11 03:40:53 2024
Tue Jun 11 03:40:52 2024     105.00*year             71   Tue Jun 11 03:40:54 2024
Tue Jun 11 03:40:52 2024     115.00*year             77   Tue Jun 11 03:40:54 2024
Tue Jun 11 03:40:53 2024     120.00*year             81   Tue Jun 11 03:40:54 2024
Tue Jun 11 03:40:53 2024     130.00*year             87   Tue Jun 11 03:40:54 2024
Tue Jun 11 03:40:53 2024     135.00*year             90   Tue Jun 11 03:40:53 2024
Tue Jun 11 03:40:54 2024     145.00*year             97   Tue Jun 11 03:40:54 2024
Tue Jun 11 03:40:54 2024     150.00*year            100   Tue Jun 11 03:40:54 2024
